time_s,stress_MPa,ox_red,NsChanges,x_Q_Qo__mA_h,Ewe_V,halfCycle,x_I__mA,cycleNumber
364970,-0.753010248919237,0,0,-11.9696268445503,0.062467184,10,-0.399013752801949,5
364980,-0.752551482093899,0,0,-11.9707351992341,0.06240993,10,-0.399007635461983,5
364990,-0.757704042581991,0,0,-11.9718435806096,0.062429015,10,-0.399017244817003,5
365000,-0.748792408382934,0,0,-11.972951933691,0.062429015,10,-0.399007058782963,5
365010,-0.789282766043686,0,0,-11.9740603092042,0.062333588,10,-0.399015134035067,5
365020,-0.748673224453697,0,0,-11.9751686584549,0.062276334,10,-0.399005679835087,5
365030,-0.794950670046584,0,0,-11.9762770163457,0.062295418,10,-0.39900879008543,5
365040,-0.776060577351786,0,0,-11.9773853715016,0.062257245,10,-0.399007805730373,5
365050,-0.772281754739453,0,0,-11.978493740153,0.062161822,10,-0.399012664058909,5
365060,-0.769802047697242,0,0,-11.9796021295388,0.062314503,10,-0.399020128234158,5
365070,-0.806104947746873,0,0,-11.9807104567293,0.062199991,10,-0.398997738320883,5
365080,-0.767200655505185,0,0,-11.9818188198332,0.062257245,10,-0.399010666692078,5
365090,-0.796058219738942,0,0,-11.9829271298056,0.062123649,10,-0.398991539588404,5
365100,-0.776708255385163,0,0,-11.9840354346362,0.062066395,10,-0.398989688609366,5
365110,-0.794610151110869,0,0,-11.9851437367793,0.061951883,10,-0.398988720849431,5
365120,-0.800197080014684,0,0,-11.9862520516669,0.061932798,10,-0.398993309067044,5
365130,-0.777545581182341,0,0,-11.9873603946165,0.061932798,10,-0.399003411270144,5
365140,-0.806647727963814,0,0,-11.9884687100062,0.061913714,10,-0.398993489883667,5
365150,-0.810761253790324,0,0,-11.9895770147302,0.061837371,10,-0.398989650125037,5
365160,-0.77605962596726,0,0,-11.9906853336208,0.061856456,10,-0.398994750297593,5
365170,-0.80710423908713,0,0,-11.9917936942562,0.06172286,10,-0.399009778163393,5
365180,-0.805131297754081,0,0,-11.9929020486002,0.061761029,10,-0.399007513249235,5
365190,-0.780688848241546,0,0,-11.9940104064866,0.061818287,10,-0.399008788578029,5
365200,-0.824900408371168,0,0,-11.9951187907303,0.06168469,10,-0.39901827727002,5
365210,-0.808516109068484,0,0,-11.9962271569848,0.061627433,10,-0.399011801056506,5
365220,-0.819154475492234,0,0,-11.9973355333004,0.06172286,10,-0.399015423025162,5
365230,-0.800850558424686,0,0,-11.9984439407574,0.061608348,10,-0.399026633920377,5
365240,-0.820051569720515,0,0,-11.9995523514319,0.061512921,10,-0.399027792484286,5
365250,-0.810721970816352,0,0,-12.0006607763019,0.061608348,10,-0.399032902646579,5
365260,-0.806172680187153,0,0,-12.0017691749563,0.061532006,10,-0.399023465104306,5
365270,-0.820769926417219,0,0,-12.0028775892035,0.061551094,10,-0.399029078318993,5
365280,-0.834385819508815,0,0,-12.0039860134517,0.061493836,10,-0.399032678752495,5
365290,-0.83335267729333,0,0,-12.0050944606013,0.061589263,10,-0.399040923258518,5
365300,-0.821362991909827,0,0,-12.0062029148622,0.061322071,10,-0.399043483506492,5
365310,-0.792886779421841,0,0,-12.007311410181,0.061532006,10,-0.39905826427472,5
365320,-0.806780154551855,0,0,-12.0084198878246,0.061302986,10,-0.399051901230738,5
365330,-0.864319062053313,0,0,-12.0095283914967,0.061264813,10,-0.399061271361957,5
365340,-0.845896068470909,0,0,-12.0106368609219,0.061302986,10,-0.399048942621143,5
365350,-0.867313391399479,0,0,-12.0117453324119,0.06136024,10,-0.399049685994659,5
365360,-0.843179650820689,0,0,-12.0128538260297,0.061322071,10,-0.39905765183411,5
365370,-0.85854664385677,0,0,-12.0139623549761,0.061264813,10,-0.39907037032129,5
365380,-0.827367716724718,0,0,-12.0150708613326,0.061112132,10,-0.399062237674691,5
365390,-0.881423083749843,0,0,-12.0161793644696,0.061188474,10,-0.399061079031507,5
365400,-0.880717432640033,0,0,-12.0172878463182,0.061054878,10,-0.399053415074634,5
365410,-0.910041497534629,0,0,-12.018396320864,0.06103579,10,-0.399050785993438,5
365420,-0.838284685365441,0,0,-12.0195048286732,0.060921282,10,-0.399062760739938,5
365430,-0.858997860985548,0,0,-12.0206133346144,0.060978536,10,-0.399062088599325,5
365440,-0.881727695592161,0,0,-12.0217218523713,0.060902193,10,-0.39906634209936,5
365450,-0.864574738972193,0,0,-12.0228303777071,0.060844939,10,-0.399069070502144,5
365460,-0.89471315833114,0,0,-12.0239389063604,0.060787681,10,-0.399070264555249,5
365470,-0.88960130789381,0,0,-12.0250474122666,0.060883109,10,-0.39906207590771,5
365480,-0.898018114725014,0,0,-12.026155910686,0.060730428,10,-0.399059380607553,5
365490,-0.882834815626991,0,0,-12.0272643974568,0.060730428,10,-0.399055187070378,5
365500,-0.892228479537536,0,0,-12.0283728780071,0.060711343,10,-0.399052947626472,5
365510,-0.897618441154664,0,0,-12.0294813419621,0.060635,10,-0.399046973018151,5
365520,-0.871042542532613,0,0,-12.0305897963507,0.060635,10,-0.39904352927938,5
365530,-0.877743849614495,0,0,-12.0316982111529,0.060692258,10,-0.399029278212675,5
365540,-0.910571111817323,0,0,-12.0328066538741,0.060482319,10,-0.399039329355464,5
365550,-0.884756075297408,0,0,-12.0339151073185,0.060577746,10,-0.399043189482786,5
365560,-0.909201854655783,0,0,-12.0350235668635,0.060520489,10,-0.399045385423652,5
365570,-0.87440330837037,0,0,-12.0361320460638,0.060520489,10,-0.399052461383181,5
365580,-0.931461735996423,0,0,-12.0372405271524,0.060520489,10,-0.399053141303987,5
365590,-0.930640215458304,0,0,-12.03834899819,0.060539573,10,-0.399049523059428,5
365600,-0.893201945391388,0,0,-12.0394574841122,0.060367808,10,-0.399054881596025,5
365610,-0.921152441204254,0,0,-12.0405659638282,0.060348723,10,-0.399052647257257,5
